ID,Asset,Side,Size,Entry Price,Exit Price,PnL ($),PnL (%),Reason,Opened At,Closed At,Duration (min),IPFS CID,Tx Hash
2,WETH/USDC,LONG,0.000000,2144.79,2137.56,-0.87,-0.04,direction_flip,2026-04-01T17:57:31.515Z,2026-04-01T17:57:31.515Z,0,,
3,WETH/USDC,LONG,0.000000,2141.95,2137.56,-0.43,-0.02,direction_flip,2026-04-01T17:57:31.516Z,2026-04-01T17:57:31.516Z,0,,
4,WETH/USDC,SHORT,0.000000,2135.42,2128.90,0.37,0.02,direction_flip,2026-04-01T18:07:30.321Z,2026-04-01T18:07:30.321Z,0,,
1,WETH/USDC,LONG,0.000000,2131.03,2145.45,1.04,0.05,direction_flip,2026-04-01T20:56:46.760Z,2026-04-01T20:56:46.760Z,0,,
2,WETH/USDC,LONG,0.000000,2143.21,2145.45,0.01,0.00,direction_flip,2026-04-01T20:56:46.760Z,2026-04-01T20:56:46.760Z,0,,
3,WETH/USDC,SHORT,0.083638,2148.82,2150.76,0.05,0.03,stop_loss,2026-04-01T21:17:32.987Z,2026-04-02T00:43:45.154Z,206,QmZZkiXn3REDoqjAmi7LRehvh5WHLUxqGwcT8QRu8MuY4M,0x7028b047f273803a973427d883369187f4527cf65aec740a354b9da136c2fee4
1,WETH/USDC,SHORT,0.083845,2143.30,2156.01,-1.25,-0.69,max_hold,2026-04-01T20:56:46.761Z,2026-04-02T00:58:43.332Z,242,QmajeZG4X7xq14YZMo2noLCCHndcs5VshnT18K6PcztpSY,
2,WETH/USDC,SHORT,0.093255,2141.37,2148.75,-0.89,-0.45,max_hold,2026-04-01T21:01:42.989Z,2026-04-02T01:03:45.004Z,242,QmbnHJFEteHBxscUw44zupjv5uKqWiDE6fmkDXpfEn8gqg,
1,WETH/USDC,LONG,0.067936,2061.30,2055.67,-0.52,-0.37,max_hold,2026-04-03T10:54:35.023Z,2026-04-03T14:59:17.090Z,245,QmRiR1PTmN9KqxxX8k3PZdLhjtz1E39bb8sF41v2DLfDoR,0xe624c8c24444b69bec8c46b2aedc06d69ff613795307cbd71b633a91d694789f
2,WETH/USDC,LONG,0.097021,2061.94,2054.54,-0.92,-0.46,max_hold,2026-04-03T10:59:27.448Z,2026-04-03T15:04:16.966Z,245,QmQNxL4VLBATxcnuLV5yR4DW8YqA9EHzR37ktsvRcckVyM,0xf04a144f95094eb3987360025f0ae619ae7c315427938518d9914ca319a6a1cf
3,WETH/USDC,LONG,0.097008,2062.21,2055.10,-0.89,-0.44,max_hold,2026-04-03T11:04:33.258Z,2026-04-03T15:09:18.203Z,245,Qmaia3hARSABeRaEkFSdG4mMcKLgVW7CFE23MDENbeQhbj,0xc4780d652b4ca4247f9ed3e04e94883666ba99a2e52d8d384aede48d81fd3f06
4,WETH/USDC,LONG,0.097056,2061.20,2056.46,-0.66,-0.33,max_hold,2026-04-03T11:09:29.288Z,2026-04-03T15:14:17.616Z,245,QmbgbPP8t8Yi2YDoSswcoEKEYduQYeV6e8ameHKMzdMNhi,0x67bd8e2f0d7058d3c3cee131c7651efa762e4fab206143fe5b2dbe60bf24d2f4
5,WETH/USDC,SHORT,0.087814,2045.59,2052.92,-0.62,-0.34,stop_loss,2026-04-03T17:19:33.808Z,2026-04-03T19:54:18.163Z,155,QmbWSbK2peAUgVhQV3uAu476F4ZehFk8szjrWAqp6opVsn,0xf5a996d76c62b6c00317eac39ce112c65c54eab62963779b23323d9ef968b47c
8,WETH/USDC,SHORT,0.096081,2056.42,2052.33,0.20,0.10,take_profit,2026-04-03T21:49:36.098Z,2026-04-03T22:49:21.209Z,60,QmPKhmAoj8XwVWiRQdeDFUYePrVtH1XPhnaENfWTYGFe2g,0xd852813a104a7763864797155db124c96d94f41c27c5ceae31a0ef44d5c8d3de
7,WETH/USDC,SHORT,0.096082,2056.41,2052.33,0.19,0.10,take_profit,2026-04-03T21:39:34.216Z,2026-04-03T22:49:21.210Z,70,Qmc7ekKdoT1anLon9jJ9mfPnD93VDsmJKbCU8qWyXvUDpL,0x146d91225700d6c634abf87c8ec65558024025178deb0dbae7b6990fd848e9af
6,WETH/USDC,SHORT,0.096139,2055.17,2052.33,0.08,0.04,take_profit,2026-04-03T21:19:30.948Z,2026-04-03T22:49:21.210Z,90,QmZmpkGCEdzuZaLcposUMGvzCD6d5UbyFHfqUn58cxHMan,0x3a763be16b9174ec9bc7b88df2830a5ee41f5435b05445e8df2f304351721a37
1,WETH/USDC,LONG,0.000000,2052.17,2050.57,-0.25,-0.01,direction_flip,2026-04-04T02:12:41.146Z,2026-04-04T02:12:41.146Z,0,,
2,WETH/USDC,LONG,0.000000,2052.55,2050.57,-0.39,-0.02,direction_flip,2026-04-04T02:12:41.148Z,2026-04-04T02:12:41.148Z,0,,
3,WETH/USDC,LONG,0.000000,2053.39,2050.57,-0.47,-0.02,direction_flip,2026-04-04T02:12:41.149Z,2026-04-04T02:12:41.149Z,0,,
4,WETH/USDC,SHORT,0.000000,2048.52,2049.15,-0.23,-0.01,direction_flip,2026-04-04T02:17:48.165Z,2026-04-04T02:17:48.165Z,0,,
5,WETH/USDC,LONG,0.097487,2051.20,2055.49,0.22,0.11,max_hold,2026-04-04T02:17:48.165Z,2026-04-04T06:22:29.717Z,245,QmQk13SCe2hDnaJmo3pYkeUPHQNKPcjSC36G811pEmGaUV,0x1ac8bf7bc029713c034d58c9ea649de14a8e8609eaf90e87b6bcefaf97c345a4
6,WETH/USDC,SHORT,0.096153,2054.75,2049.96,0.26,0.13,take_profit,2026-04-04T06:57:46.463Z,2026-04-04T08:57:29.842Z,120,Qma7c2UigCt4Sdbj98AWrgrUmQFXQfEi8rbiiVVew1jdgX,0x6969cebaf27d4dc71f9442c3416f205b15431dad8a5eb9e0e01aff3037e5b808
7,WETH/USDC,LONG,0.096500,2051.52,2052.60,-0.09,-0.05,max_hold,2026-04-04T09:37:48.200Z,2026-04-04T13:42:30.369Z,245,QmTVtRFVc9ahkkb3d5qyZ1c8UkgAJFfVddysfwEsex5AXM,0xfa7d1470719e95ed3dddf4e8b3c1229de4ebb34a6723bc020808dc0c600d139a
8,WETH/USDC,SHORT,0.096242,2052.88,2059.56,-0.52,-0.26,stop_loss,2026-04-04T15:12:47.426Z,2026-04-04T16:32:30.454Z,80,QmZJM89RWUcoRu15enTrgUtT99RfWm9bboHZL38RtT74vM,0xddbd25ad11fa60d0234f45e488fc0a8c4707403892226157abca3b671763ff56
9,WETH/USDC,SHORT,0.106773,2055.90,2065.15,-0.63,-0.29,stop_loss,2026-04-04T16:37:40.667Z,2026-04-04T19:12:33.842Z,155,QmPB1YryiQPB6HPnx42trmgftgm5odeSzDdU3dxFmvpokh,0xd6809f6fa7b723eccb439f772db35e6a84ce827212738e61ee586969683009b3
10,WETH/USDC,SHORT,0.105894,2072.83,2064.80,0.63,0.29,take_profit,2026-04-04T19:17:50.232Z,2026-04-04T19:47:27.596Z,30,QmaKU9w3FZxTSMtdyCvuivgx38JDsrHw6H8UXXAfdq926K,0x3232c8c738213fd1db116b53ba56358297c016aafbe9db9692720534a92c7be5
11,WETH/USDC,SHORT,0.095722,2063.93,2058.78,0.30,0.15,take_profit,2026-04-04T23:17:43.635Z,2026-04-05T01:12:29.870Z,115,QmeXvgX9jwX4GdoHBy8KfCGETWpwv9EPSBygSYfjEgicfv,0x552cf363fd1badf498c368d383aeb1abbd78c339df948308a24cfd43685eebef
12,WETH/USDC,LONG,0.096111,2059.76,2051.74,-0.56,-0.28,stop_loss,2026-04-05T01:42:46.152Z,2026-04-05T05:22:29.258Z,220,QmRCdzWrzFUYutvNudvW9MBRpRpuzFHxufUbEgpCpix1bE,0x1f3ad370e0ca934d23956629a2d08223cd96c3248fdf056132ac5f5ef1760c47
13,WETH/USDC,LONG,0.096378,2053.92,2048.65,-0.51,-0.26,stop_loss,2026-04-05T05:42:41.339Z,2026-04-05T05:57:29.853Z,15,Qmf9bbdbzrs5q3eiQHkfm2woKYcW6WQudmJhPgoSJsXvQ9,0x8a7f0b295091f270fefb0dade54a8ff376348945744d6fa3b432391642d4e768
14,WETH/USDC,LONG,0.107285,2050.03,2038.36,-0.58,-0.26,stop_loss,2026-04-05T06:02:45.289Z,2026-04-05T06:12:29.614Z,10,QmPAVtJKBfrURPKxcz3tFu5eszSXTeLUb17tZjS6c4k38B,0x99179b9dd5784e070637468faff1e4347c4cf4b28569fa0545b479c03afceafe
15,WETH/USDC,SHORT,0.096887,2038.83,2029.59,0.70,0.35,take_profit,2026-04-05T11:37:45.145Z,2026-04-05T12:37:29.105Z,60,QmYb46XHkhGwZJERwGUwW21tzZLstTMiWHNWupM3CMrjkY,0xa6ab63c1090343b191f8f40188e1a9bc20dc43fcba1ee9f72509e7c5dbeacbda
16,WETH/USDC,SHORT,0.095966,2058.55,2059.57,0.00,0.00,stop_loss,2026-04-05T15:32:43.570Z,2026-04-05T17:47:29.450Z,135,QmYTz4T8WnecpqdhG8W74w7ejnEptxkQha7FBJajw2VkqM,0x78734f4b8004a788841fbdb5a6150c0892e5885350c856c234d17d92b7e715d6
17,WETH/USDC,SHORT,0.095601,2066.40,2060.04,0.41,0.21,take_profit,2026-04-05T19:27:46.023Z,2026-04-05T19:42:27.927Z,15,QmUZp6y6oG3NH7SezqC5a3t48XkojPrsn5FMCivFtdGRQY,0xf654a48e32a193596473c9c30e1a118a77025871318661d1359b9fa9fde1695d
18,WETH/USDC,SHORT,0.096090,2055.96,2062.64,-0.59,-0.30,stop_loss,2026-04-05T19:52:42.812Z,2026-04-05T20:07:29.975Z,15,QmYV8tUo5roiM7mPuwuUujJiriKdsSZZocEmeTmDHLidKJ,0xaee86fcbba71430ff26562816488e2f14b29293fc6fa3ad883e87ba34a97a369
19,WETH/USDC,SHORT,0.095994,2057.91,2051.18,0.45,0.23,take_profit,2026-04-05T21:22:46.565Z,2026-04-05T22:27:29.023Z,65,QmTQtyV7tioq7i4twcGfcbpNjGuWa1QgDFjjX4c7LgVBiV,0xb6cd54032a9e281dce09413ebedc48d1f5bd4189ff431fa560aa5d265140a129
20,WETH/USDC,LONG,0.107035,2054.88,2068.09,1.19,0.54,take_profit,2026-04-05T22:32:44.061Z,2026-04-05T22:47:30.172Z,15,QmSdDv7L84CiKxxbsUatjLzuWNf3HNL934PWi3hfxL4fEC,0xc5fbf3acdfd974d4b0b06f5a7370e6b2a03934b87294dab76ffeb9b6521d8905
21,WETH/USDC,LONG,0.105939,2076.40,2086.47,0.85,0.38,take_profit,2026-04-05T22:52:44.171Z,2026-04-05T23:02:29.540Z,10,QmX6aPzwWSV2mRciwFedzVF9egqQYx5a9k9tKfwuPiXbUb,0xff773953afb3f62539bf7500d0bd0a1364908e3248d1ed480a94aa002b550c8b
22,WETH/USDC,LONG,0.105481,2085.59,2103.02,1.62,0.73,take_profit,2026-04-05T23:07:40.835Z,2026-04-05T23:17:31.713Z,10,QmTfTFVZphu7Q8PDh8FNiLbVS9fnqmFDc454titE4iH1cc,0x0a3c09be7bad203b90dd0b318e89fbd70d75a8eea41fbd1102fe4c3a6dc622f0
23,WETH/USDC,SHORT,0.093876,2105.20,2119.86,-1.02,-0.51,stop_loss,2026-04-05T23:27:46.105Z,2026-04-05T23:37:30.412Z,10,QmPxk9Fd6GytBtRUz9JGpbNSKaRmDP6Mkd7x6KGk3YmHFe,0xa4ed678ce2fd1d0790eb519785e4831e4c7f670150950e4aee9f3ad6d8d4398d
24,WETH/USDC,SHORT,0.103930,2112.61,2124.64,-1.15,-0.52,stop_loss,2026-04-05T23:42:37.654Z,2026-04-06T00:32:29.682Z,50,QmVTDJnPCorZE6qqJEHQtRaaF27QCuJnRTpCJM7LN1x42g,0x97b9803db64ca5b6178fe8117690cb01ab422801fb89faa141c4f8da4ba71feb
25,WETH/USDC,LONG,0.093301,2121.96,2133.63,0.89,0.45,take_profit,2026-04-06T01:07:42.940Z,2026-04-06T02:17:28.665Z,70,QmYDeLM9pC35xf39bRmxmEdjHnVt8QxtQymaF5nuwJAN4i,0x846a26651844483ebf52e137436c700745f4801ac8302555704ff43a7cb03466
26,WETH/USDC,SHORT,0.092843,2128.35,2120.74,0.51,0.26,take_profit,2026-04-06T03:47:47.434Z,2026-04-06T06:32:30.392Z,165,QmUz1ghAE6ZJpbXkRJABhHANBphP1ua4TThQbyeTwJbgky,0x8d23b307c34d686c37b7590c11beb358267fd68b0e67c5ea0c0b7a68e0963f77
27,WETH/USDC,LONG,0.093227,2123.94,2134.45,0.78,0.39,take_profit,2026-04-06T06:42:45.253Z,2026-04-06T07:27:28.564Z,45,QmTBmgUSisR9bfedzs8ThNjSi9xjRjAfohwhAC37gxBYED,0xbc7c0079d910bede3f8de1a1b91e0cb6b7f4235de7c3971ba3ab64d9d6935121
1,WETH/USDC,LONG,0.092719,2135.73,2144.01,0.57,0.29,take_profit,2026-04-06T07:32:44.144Z,2026-04-06T09:11:31.802Z,99,QmRbBFpUwxEricUJYBhCfN2GCmJCDDDqDLVH4vTWbdJMZL,0x2ceb8cfa98cfe15713ad59cf612f9177f14a35cc190fdff9db475f26c57b2d81
